crmstats_wdseg_v3 Published segmentation 8/21/14
0	0	0	0	1.6940	62.0952	93.4154	58.4579	93.4912	55.2098	85.9885	61.4776	89.9945	60.4661	90.0925	57.7353	81.5017
0	0	0	1	1.7450	61.2346	89.5341	59.6252	94.0179	56.6529	86.3671	58.7631	90.6049	56.3850	93.7413	58.4462	81.2911
0	0	0	2	1.7990	59.4401	87.1451	59.3731	94.6816	56.8313	84.9641	54.8219	90.6911	58.3375	92.2618	58.6753	81.6108
0	0	0	3	1.7670	60.7974	90.1646	59.4055	94.7351	56.8709	85.1938	54.3786	90.9653	58.2234	91.2141	58.6235	82.3514
0	0	0	4	1.7710	58.5930	89.7897	58.9859	92.1718	55.4440	84.3201	52.4498	89.3535	60.7486	91.0708	59.5678	84.3751
0	0	0	5	1.6780	59.2314	90.1162	60.5888	93.5617	57.0285	85.6945	56.5224	89.9879	49.2605	98.4172	60.3495	85.1591
0	0	0	6	1.7430	58.3887	91.3836	60.9661	92.8582	56.9136	86.2543	56.9503	90.4596	57.8710	90.7840	59.5035	85.1293
0	0	0	7	1.7030	59.4625	91.7103	60.4982	91.5605	56.6774	83.9493	56.8683	94.2765	53.6429	88.5109	60.3912	82.9624
0	0	1	0	1.6990	58.1943	90.8547	60.5782	95.2549	59.2057	87.7869	58.4899	87.7167	60.3283	89.2536	58.8208	82.8981
0	0	1	1	1.7630	58.6521	87.7428	59.3875	94.1954	60.8154	87.9059	57.9005	87.9302	53.7895	92.0543	59.3524	85.9148
0	0	1	2	1.7670	57.1109	87.7428	60.9431	94.6752	60.1395	87.8022	55.9805	87.9894	54.5469	92.0779	59.3201	86.2520
0	0	1	3	1.6510	58.7266	90.3378	59.9701	99.0236	59.8495	88.3009	53.7911	85.5392	57.4591	90.0663	59.1167	83.5088
0	0	1	4	1.6910	59.9232	90.4452	58.2647	91.9093	59.3806	86.7481	51.4195	85.9294	59.0193	90.4843	57.3364	82.9955
0	0	1	5	1.7150	59.9588	90.1518	61.0116	95.0436	60.6539	87.0947	56.4484	86.4544	51.3259	94.3012	58.7948	83.5755
0	0	1	6	1.7110	59.3911	86.4971	60.4379	92.9332	59.9997	87.2192	56.0177	85.6450	58.1163	91.6161	57.8208	83.7471
0	0	1	7	1.6550	60.1058	89.6935	60.2393	91.9246	60.3775	86.3053	55.2822	86.5341	53.0842	86.3915	59.2715	84.6585
0	0	2	0	1.7150	58.4529	91.5349	59.9481	93.0753	58.6958	86.2966	55.4949	117.6619	61.4509	88.8930	58.1723	83.1582
0	0	2	1	1.6550	58.6013	88.7333	59.8206	92.6888	59.5413	86.6807	58.6647	86.4963	53.3543	108.3071	59.4637	85.2986
0	0	2	2	1.6750	59.3195	88.7298	60.4514	94.3556	60.2939	85.0897	57.5976	88.9824	52.9866	90.9298	56.8302	83.5911
0	0	2	3	1.6830	57.3039	87.9857	58.5089	93.3962	59.7399	86.6812	52.2804	84.1441	55.4682	90.3254	61.5507	85.0893
